label,page,text,id,surrounding_text
DATE,18,almost a year,," 
    19      Q.  This is a year after your sister has claimed Mr. Depp did that 
    20          before the Keith Richards documentary? 
 
    21      MR. JUSTICE NICOL:  The date on the text appears to be 
 
    22          February 11th 2014. 
 
    23      MS. LAWS:  It is almost a year, it is 11 months later.  But it is 
    24          a long time after the Keith Richards incident, is it not? 
 
    25      THE WITNESS:  Yes. 
 
P.1827 
     2      Q.  ""Well done, my friend, well done"", I think that is from your 
     3          sister, is it? 
 
     4      A.  Yes. 
 
     5      MR. JUSTICE NICOL:  Just a minute. 
 
     6      MS. LAWS:  It is the bottom of the following page, it is the same 
     7          photograph. 
 
     8      MR. JUSTICE NICOL:  It is now 3.4C. 
 
     9      MS. LAWS:  The same photo we have seen before.  ""Well done, my 
    10          friend, well done"". 
 
    11      MR. JUSTICE NICOL:  Do you know who that is from and to? 
 
    12      THE WITNESS:  It appears to be from my sister to Johnny. 
 
    13      MR. JUSTICE NICOL:  Just a minute.  (Pause) 
 
    14      MS. LAWS:  At the top of the following page:  ""By the way you 
    15          never responded to my other text, the van Pee painting earned 
    16          you 20 points in my book, cunardo"".  That is from your sister 
    17          again, is it not? 
 
    18      THE WITNESS:  Yes. 
 
    19      MR. JUSTICE NICOL:  So, the one at the top of H23.4D is from 
    20          Whitney you think? 
 
    21      A.  Yes. 
 
    22      MS. LAWS:  To Mr. Depp.  Then he responds:  ""Subtle ay, made me 
    23          laugh as I was doing it.  Thanks sweetheart, can't stand that 
    24          fucking hovering vulture.""  Your sister responds:  ""She's the 
    25          worse.  Did Sis notice the van Pee yet?""  And Mr. Depp says: 
 
P.1828 
     2          ""Ah, yes, she laughed her arse off, nice."" 
     3                What you and your sister have done is attempted to "
timexy,18,11 months,"TIMEX3 type=""DURATION"" value=""P11M"""," 
    19      Q.  This is a year after your sister has claimed Mr. Depp did that 
    20          before the Keith Richards documentary? 
 
    21      MR. JUSTICE NICOL:  The date on the text appears to be 
 
    22          February 11th 2014. 
 
    23      MS. LAWS:  It is almost a year, it is 11 months later.  But it is 
    24          a long time after the Keith Richards incident, is it not? 
 
    25      THE WITNESS:  Yes. 
 
P.1827 
     2      Q.  ""Well done, my friend, well done"", I think that is from your 
     3          sister, is it? 
 
     4      A.  Yes. 
 
     5      MR. JUSTICE NICOL:  Just a minute. 
 
     6      MS. LAWS:  It is the bottom of the following page, it is the same 
     7          photograph. 
 
     8      MR. JUSTICE NICOL:  It is now 3.4C. 
 
     9      MS. LAWS:  The same photo we have seen before.  ""Well done, my 
    10          friend, well done"". 
 
    11      MR. JUSTICE NICOL:  Do you know who that is from and to? 
 
    12      THE WITNESS:  It appears to be from my sister to Johnny. 
 
    13      MR. JUSTICE NICOL:  Just a minute.  (Pause) 
 
    14      MS. LAWS:  At the top of the following page:  ""By the way you 
    15          never responded to my other text, the van Pee painting earned 
    16          you 20 points in my book, cunardo"".  That is from your sister 
    17          again, is it not? 
 
    18      THE WITNESS:  Yes. 
 
    19      MR. JUSTICE NICOL:  So, the one at the top of H23.4D is from 
    20          Whitney you think? 
 
    21      A.  Yes. 
 
    22      MS. LAWS:  To Mr. Depp.  Then he responds:  ""Subtle ay, made me 
    23          laugh as I was doing it.  Thanks sweetheart, can't stand that 
    24          fucking hovering vulture.""  Your sister responds:  ""She's the 
    25          worse.  Did Sis notice the van Pee yet?""  And Mr. Depp says: 
 
P.1828 
     2          ""Ah, yes, she laughed her arse off, nice."" 
     3                What you and your sister have done is attempted to "
DATE,19,DAY 13,,DAY 13 (Re-examination of Ms Heard)  
DATE,20,The 22nd,,"     7      A.  The 22nd. 
 
     8      Q.  22nd March, 2013? 
 
     9      A.  Yes. 
 
    10      Q.  Thank you very much indeed.  As far as the painting incident 
    11          was concerned, what you said in your original statement was 
    12          that after the arguments, there was an episode of filming on 
    13          that date? 
 
    14      A.  Yes, that is correct. 
 
    15      Q.  With Keith Richards? 
 
    16      A.  Yes. 
 
    17      Q.  Was that the only date in March 2013 when there was filming 
    18          with Keith Richards? 
 
P.2033 
 
     8      MS. WASS:  How many incidents were there in March 2013 which 
     9          involved filming a documentary with Keith Richards? 
 
    10      A.  At least three. 
 
P.2052 
     6      Q.  Mr. Depp accepts in his evidence that there was an occasion at 
     7          Orange Avenue when he politely, he says, asked you to remove a 
     8          painting done by Tasya van Ree which was on your bedroom wall. 
 
     9          Do you remember that part of the evidence? 
 
    10      A.  I remember him saying that. 
 
    11      Q.  Was it one of those two paintings that we see in those two 
    12          documents in the trial bundle? 
 
    13      A.  Well, he defaced both and was upset about ---- 
 
    14      MR. JUSTICE NICOL:  No no.  The question was whether you were able 
    15          to say whether the painting that Mr. Depp asked you to remove 
    16          was one of these two paintings. 
 
    17      A.  Well, he did ask me to remove both of them, the one we have 
    18          been talking about the burning is the one that is part of the 
    19          text message screen grab between Mr. Hop, Johnny, and my 
    20          sister. 
 "
timexy,20,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","     7      A.  The 22nd. 
 
     8      Q.  22nd March, 2013? 
 
     9      A.  Yes. 
 
    10      Q.  Thank you very much indeed.  As far as the painting incident 
    11          was concerned, what you said in your original statement was 
    12          that after the arguments, there was an episode of filming on 
    13          that date? 
 
    14      A.  Yes, that is correct. 
 
    15      Q.  With Keith Richards? 
 
    16      A.  Yes. 
 
    17      Q.  Was that the only date in March 2013 when there was filming 
    18          with Keith Richards? 
 
P.2033 
 
     8      MS. WASS:  How many incidents were there in March 2013 which 
     9          involved filming a documentary with Keith Richards? 
 
    10      A.  At least three. 
 
P.2052 
     6      Q.  Mr. Depp accepts in his evidence that there was an occasion at 
     7          Orange Avenue when he politely, he says, asked you to remove a 
     8          painting done by Tasya van Ree which was on your bedroom wall. 
 
     9          Do you remember that part of the evidence? 
 
    10      A.  I remember him saying that. 
 
    11      Q.  Was it one of those two paintings that we see in those two 
    12          documents in the trial bundle? 
 
    13      A.  Well, he defaced both and was upset about ---- 
 
    14      MR. JUSTICE NICOL:  No no.  The question was whether you were able 
    15          to say whether the painting that Mr. Depp asked you to remove 
    16          was one of these two paintings. 
 
    17      A.  Well, he did ask me to remove both of them, the one we have 
    18          been talking about the burning is the one that is part of the 
    19          text message screen grab between Mr. Hop, Johnny, and my 
    20          sister. 
 "
timexy,20,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","     7      A.  The 22nd. 
 
     8      Q.  22nd March, 2013? 
 
     9      A.  Yes. 
 
    10      Q.  Thank you very much indeed.  As far as the painting incident 
    11          was concerned, what you said in your original statement was 
    12          that after the arguments, there was an episode of filming on 
    13          that date? 
 
    14      A.  Yes, that is correct. 
 
    15      Q.  With Keith Richards? 
 
    16      A.  Yes. 
 
    17      Q.  Was that the only date in March 2013 when there was filming 
    18          with Keith Richards? 
 
P.2033 
 
     8      MS. WASS:  How many incidents were there in March 2013 which 
     9          involved filming a documentary with Keith Richards? 
 
    10      A.  At least three. 
 
P.2052 
     6      Q.  Mr. Depp accepts in his evidence that there was an occasion at 
     7          Orange Avenue when he politely, he says, asked you to remove a 
     8          painting done by Tasya van Ree which was on your bedroom wall. 
 
     9          Do you remember that part of the evidence? 
 
    10      A.  I remember him saying that. 
 
    11      Q.  Was it one of those two paintings that we see in those two 
    12          documents in the trial bundle? 
 
    13      A.  Well, he defaced both and was upset about ---- 
 
    14      MR. JUSTICE NICOL:  No no.  The question was whether you were able 
    15          to say whether the painting that Mr. Depp asked you to remove 
    16          was one of these two paintings. 
 
    17      A.  Well, he did ask me to remove both of them, the one we have 
    18          been talking about the burning is the one that is part of the 
    19          text message screen grab between Mr. Hop, Johnny, and my 
    20          sister. 
 "
DATE,20,DAY 13,,DAY 13 (Cross-examination of Whitney Henriques) 
DATE,21,The 6th July,,"but instead was prompted by looking at old text messages with Nathan Holmes and seeing a 
reference to McDonald’s  
 
P.2140 
     5      MR. JUSTICE NICOL:  I think that is the first page of the seventh 
     6          witness statement of Amber Heard. 
 
     7      THE WITNESS:  Yes, it says seventh witness statement, yes. 
 
     8      MS. LAWS:  The 6th July was the day before the trial starts.  Were 
     9          you aware that she corrected her statement on that day?  Or 
    10          were you in complete ignorance of that? 
 
    11      A.  If it says it here, then sure but I ---- 
 
    12      MR. JUSTICE NICOL:  What you are being asked, Ms. Henriquez, is 
    13          whether you were aware that your sister had made a statement 
    14          on 6th July correcting the date or giving what she said was 
    15          the correct date of the incident? 
 
    16      A.  I did not have knowledge of it at the time, but if that is 
    17          what happened, then that is what happened.  I was not aware of 
    18          every step of this. 
 
    19      MS. LAWS:  Looking at paragraph 5, if I can ask you then to look 
    20          at it. 
 
    21      MR. JUSTICE NICOL:  Paragraph 5 is on page E606.92. 
 
    22      MS. LAWS:  It starts ""While reviewing this material"".  Do you have 
    23          that paragraph? 
 
    24      THE WITNESS:  Yes. 
 
    25      Q.  ""I have been able to identify the dates of two incidents of 
 
P.2141 
     2          violence that took place in March ...(reads to the words)... 
     3          which is apparent from the photographs now at tab 148.F, which 
     4          show Johnny's cocaine in my kitchen at my house on Orange and 
     5          was one of the days Johnny was due to be filming a documentary 
     6          with Keith Richards.""  I suggest to you that you would have 
     7          known full well that your sister, on being faced with that 
     8          photograph of her with a clear face, was forced to change her 
     9          evidence and account in relation to 8th March.  Do you agree 
    10          or disagree? 
 
    11      A.  I disagree.  This is the first time I am seeing this 
    12          statement.  I cannot speak to why. 
 
    13      Q.  You have been here every day during this trial and so you have 
    14          seen that your sister has had to change her account and what 
    15          she says about it; is that right? 
 
    16      A.  I agree with this. "
DATE,21,that day,,"but instead was prompted by looking at old text messages with Nathan Holmes and seeing a 
reference to McDonald’s  
 
P.2140 
     5      MR. JUSTICE NICOL:  I think that is the first page of the seventh 
     6          witness statement of Amber Heard. 
 
     7      THE WITNESS:  Yes, it says seventh witness statement, yes. 
 
     8      MS. LAWS:  The 6th July was the day before the trial starts.  Were 
     9          you aware that she corrected her statement on that day?  Or 
    10          were you in complete ignorance of that? 
 
    11      A.  If it says it here, then sure but I ---- 
 
    12      MR. JUSTICE NICOL:  What you are being asked, Ms. Henriquez, is 
    13          whether you were aware that your sister had made a statement 
    14          on 6th July correcting the date or giving what she said was 
    15          the correct date of the incident? 
 
    16      A.  I did not have knowledge of it at the time, but if that is 
    17          what happened, then that is what happened.  I was not aware of 
    18          every step of this. 
 
    19      MS. LAWS:  Looking at paragraph 5, if I can ask you then to look 
    20          at it. 
 
    21      MR. JUSTICE NICOL:  Paragraph 5 is on page E606.92. 
 
    22      MS. LAWS:  It starts ""While reviewing this material"".  Do you have 
    23          that paragraph? 
 
    24      THE WITNESS:  Yes. 
 
    25      Q.  ""I have been able to identify the dates of two incidents of 
 
P.2141 
     2          violence that took place in March ...(reads to the words)... 
     3          which is apparent from the photographs now at tab 148.F, which 
     4          show Johnny's cocaine in my kitchen at my house on Orange and 
     5          was one of the days Johnny was due to be filming a documentary 
     6          with Keith Richards.""  I suggest to you that you would have 
     7          known full well that your sister, on being faced with that 
     8          photograph of her with a clear face, was forced to change her 
     9          evidence and account in relation to 8th March.  Do you agree 
    10          or disagree? 
 
    11      A.  I disagree.  This is the first time I am seeing this 
    12          statement.  I cannot speak to why. 
 
    13      Q.  You have been here every day during this trial and so you have 
    14          seen that your sister has had to change her account and what 
    15          she says about it; is that right? 
 
    16      A.  I agree with this. "
DATE,22,day one,," 
    17      Q.  I am going to suggest to you it would have been really obvious 
    18          before the start of this trial, or on day one of the trial, 
    19          that there was a very serious problem with one of the 
    20          incidents that both you and her allege took place? 
 
    21      A.  I disagree.  There is not a problem with our accounts. 
 
    22      Q.  Did you spend the days before this trial in quarantine with 
    23          your sister? 
     
  24      A.  I did. 
 
 
P.2142 
     2      MS. LAWS:  So, are you really suggesting that the first you 
    3          realised that you had got the date wrong was literally the 
     4          moment you came into the witness box this afternoon at 
     5          two o'clock? 
 
     6      THE WITNESS:  What are you asking me exactly? 
 
     7      Q.  When did you first realise that you had got the date so very 
     8          wrong of this incident? 
 
     9      A.  It was very recently.  But I honestly, that is it, I just 
    10          realised recently. 
 
    11      Q.  How did you realise recently? 
 
    12      A.  I was going over text messages between Nathan Holmes and 
    13          I, his former assistant. 
 
    14      MR. JUSTICE NICOL:  Just a minute.  (Pause) Nathan Holmes, who is 
    15          the other person? 
 
    16      A.  Nathan Holmes and myself.  I was going ---- 
 
    17      Q.  When you say ""I"", you mean you yourself? 
 
    18      A.  Yes, I was going over my own text messages, my own 
    19          conversation with his former assistant Nathan Holmes. 
 
    20      MS. LAWS:  It certainly was not a case of Amber saying, ""We have 
    21          got it wrong, we have got to sort this out""? 
 
    22      A.  I disagree with that. 
 
 
Ms Henriques was shown the photograph of Ms Heard with Ian McLagan and could see the 
same injury Ms Heard had claimed to be able to see when giving her evidence. 
 "
DATE,24,the day,,"     2      A.  I am sorry, I do not know that. 
 
     3      Q.  Which is why your sister herself, when I showed this to her 
     4          and informed her of the date, or the date we are saying it is, 
     5          your sister was forced to say she had an injury to her lip? 
 
     6      A.  I disagree with that statement. 
 
     7      Q.  And you know she is forced to say that because otherwise both 
     8          your story and her story would completely fall apart, would it 
     9          not? 
 
    10      A.  I disagree. 
 
    11      Q.  It is ridiculous to suggest that this photograph shows any 
    12          sort of injury? 
 
    13      A.  I disagree. 
 
    14      Q.  I think you have indicated that on the day of this assault, 
    15          her face -- and I have gone through it several times -- was 
    16          swollen, not just her lip, her face was swollen, her lip was 
    17          split? 
 
    18      A.  Yes. 
 
    19      Q.  Are you saying that is what we can see on this? 
 
    20      A.  I see makeup and a split lip. 
 "
DATE,24,a year later,,"    18      Q.  So, is what you are saying that that part of your statement 
    19          which you wrote in 2019, where you say you had a conversation 
    20          with your sister about the painting, what you had done was 
    21          added in a detail completely by mistake of something that 
    22          happened a year later? 
 
    23      A.  I simply merged two paintings that he defaced into one event. 
    24          That is what happened.  It was a mistake.  It was two separate 
    25          paintings, but it was because I just merely merged the two. 
 "
DATE,25,the end of last,," 
     6      A.  I disagree with that statement. 
 
     7      Q.  It is a difficult lie to maintain because when we go back to 
     8          your statement -- I am afraid I am going to ask you to close 
     9          that file and get your statement back, just to see the nature 
    10          of what you have had to change.  So, file 2, please, tab 61, 
    11          paragraph 37, page E106.  Do you have that? 
 
    12      A.  37?  One moment, please. 
 
    13      Q.  Page E106? 
 
    14      A.  I have that.  Yes, I have that. 
 
    15      Q.  Paragraph 37.  So what you were saying, at the end of last 
    16          year, was that you did not look at it closely, Amber told you 
    17          a few days later he tried to burn it, and Amber also then, in 
    18          that conversation, told you that when that failed, so when him 
    19          trying to burn it failed, he had scratched out her signature 
    20          to Tasya van Pee.  So the whole of that second part of that 
    21          sentence needs to be deleted, does it?  Your sister did not 
    22          tell you that? 
 
    23      A.  That is not true.  She told me that he tried to burn the 
    24          painting and when I was recalling the accounts to put the 
    25          statement together, in my head, I mistakenly recalled that he 
 "
DATE,25,16          year,," 
     6      A.  I disagree with that statement. 
 
     7      Q.  It is a difficult lie to maintain because when we go back to 
     8          your statement -- I am afraid I am going to ask you to close 
     9          that file and get your statement back, just to see the nature 
    10          of what you have had to change.  So, file 2, please, tab 61, 
    11          paragraph 37, page E106.  Do you have that? 
 
    12      A.  37?  One moment, please. 
 
    13      Q.  Page E106? 
 
    14      A.  I have that.  Yes, I have that. 
 
    15      Q.  Paragraph 37.  So what you were saying, at the end of last 
    16          year, was that you did not look at it closely, Amber told you 
    17          a few days later he tried to burn it, and Amber also then, in 
    18          that conversation, told you that when that failed, so when him 
    19          trying to burn it failed, he had scratched out her signature 
    20          to Tasya van Pee.  So the whole of that second part of that 
    21          sentence needs to be deleted, does it?  Your sister did not 
    22          tell you that? 
 
    23      A.  That is not true.  She told me that he tried to burn the 
    24          painting and when I was recalling the accounts to put the 
    25          statement together, in my head, I mistakenly recalled that he 
 "
DATE,25,DAY 14,,DAY 14 (Re-examination of Whitney Henriques) 
timexy,26,June 2013,"TIMEX3 type=""DATE"" value=""2013-06-01T00:00:00""","Incident 3: Hicksville, June 2013  "
DATE,29,the next day,,"    11          that it does others, as mushrooms do not affect me in the same 
    12          way as it does others.  I am not saying I am unique, the only 
    13          person in the world, but ---- 
 
    14      Q.  That trailer that you stayed in with Ms. Heard got smashed up, 
    15          did it not? 
 
    16      A.  A bathroom sconce got smashed up.  I did get very -- I was 
    17          very upset at being yet again treated as the, pardon the 
    18          expression, the turd in the punch bowl, and that was quite 
    19          unpleasant.  I did not feel that I deserved to be screamed at, 
    20          demeaned, and treated like garbage for having done something 
    21          that I felt was right and correct.  So, during the height of 
    22          the argument, I punched the glass art deco light fixture in 
    23          the bathroom, above the bathroom mirror, and smashed it. 
 
    24      Q.  The trailer was very, very badly damaged the next day. There 
    25          was a wall lamp, a sconce as you call it, hanging off the 
 
P.243 
     2          wall, but there was mess everywhere, absolutely everywhere. 
     3          You had trashed the trailer? 
 
     4      A.  I am going to have to say, no, I did not. 
 
     5      Q.  You just limited your anger to tearing off the wall lamp; is 
     6          that right? 
 
     7      A.  No, I did not tear off the wall lamp, Ms. Wass.  I punched the 
     8          lighting fixture, the glass around the bulb. 
 
     9      Q.  All right.  Do you remember Kirsty Sexton coming into the 
    10          trailer the next morning? 
 
    11      A.  I do not remember Kirsty Sexton coming into the trailer the 
    12          next morning.  I remember going to the manager of Hicksville. 
 
The Defendants, presumably to increase the seriousness of the damage, say that Mr Depp’s 
“security team” had to deal with the owners/ managers about the damage. But Mr Depp dealt 
with it himself and Malcolm Connolly gave evidence that he was the only security with Mr 
Depp on that trip and he had nothing to do with the owners about damage to the trailer. Ms 
Sexton’s echoing of Ms Heard’s line about the “security team” should be rejected. 
 
    13      Q.  Yes, with your security? 
 
    14      A.  I am sorry? 
 
    15      Q.  With your security team? 
 
    16      A.  No. 
 
    17      Q.  Were your security team there? 
 
    18      A.  Yes, I had security there, but they ---- 
 "
DATE,32,DAY 13,,DAY 13 (Cross-examination of Kristina Sexton)  
DATE,32,the summer of 2013,,"     3                (To the witness) Forget the question I have just asked 
     4          you, please, Ms. Sexton.  I want to ask you about Hicksville, 
     5          which we know was in the summer of 2013. 
 
     6      THE WITNESS:  Yes. 
 
     7      Q.  Can you first of all confirm what damage you saw to the 
     8          trailer where Ms. Heard and Mr. Depp were living? 
 
     9      A.  I saw broken glass strewn everywhere and it looked like window 
    10          coverings or cloth had been ripped and thrown around the 
    11          place. 
 
    12      MR. JUSTICE NICOL:  Just a minute, please.  Broken glass 
    13          everywhere, and you said something else? 
 
    14      A.  A fabric, I remember seeing torn fabric, either like curtain 
    15          fabric or  I do not know, bedding.  It was fabric that was 
    16          strewn around, everything was in disarray.  Like (unclear) and 
    17          some of it, like, broken things just everywhere. 
 
    18      Q.  Was there any conversation between yourself and Ms. Heard "
timexy,36,two years,"TIMEX3 type=""DURATION"" value=""P2Y""","    17          Mr. Deuters take you through what had happened on the flight? 
 
    18      A.  Mr. Deuters and I had a conversation.  Ms. Heard was still 
    19          very upset and I think very -- she was very stubborn about 
    20          hearing anything that did not ring true with her side of 
    21          things.  And on many occasions, I am somewhat embarrassed to 
    22          say, that I had to tell Mr. Deuters, and I recall telling 
    23          Mr. Deuters, just agree with whatever she said, just placate 
    24          her.  I can't take it any more, no more fights, no more 
 
P.321 
 
     3      Q.  That was the plan that you cooked up with Mr. Deuters, was it, 
     4          when he told you what had happened? 
 
     5      A.  Yes.  We cooked up a plan to placate Ms. Heard, but in fact 
     6          that was not cooked up then, it was cooked up a lot longer, 
     7          prior. 
 
     8      Q.  Before the plane incident at all? 
 
 
    16      Q.  Did you tell Mr. Deuters that you did not remember much about 
    17          the journey? 
 
    18      A.  I do not recall telling Mr. Deuters that I did not remember 
    19          anything about the journey.  I remember having a conversation 
    20          with Mr. Deuters saying, ""Please, just tell her whatever she 
    21          wants to hear, placate her"". 
 
    22      Q.  I understand that.  But that conversation was two years 
    23          beforehand, you tell us? 
 
    24      A.  No no no.  That placation started years before.  It became a 
    25          necessary tool to be able to deal with Ms. Heard without her 
 "
DATE,42,17          25th,,"     7      A.  You know, of that ilk.  It could cause quite unpleasant 
     8          feeling in that area.  It could be that.  I do not know 
     9          specifically.  I could not say specifically. 
 
    10      Q.  We are on our way to 80, that is 80 Sweetzer Avenue, is that 
    11          right, where he had a property in Hollywood? 
 
    12      A.  Yes. 
 
    13      Q.  Over the page, you carry on: ""He has been sick.  We are going 
    14          to get him straight to bed""? 
 
    15      A.  Yes. 
 
    16      Q.  Is that just tummy ache? 
 
    17      A.  I mean, I cannot recall specifically. 
 
    18      Q.  Or do you think, having seen what he said he had drunk and 
    19          imbibed by way of controlled drugs, he might have just 
    20          overdone it, and that is what made him ill? 
 
    21      A.  It is possible, yes. 
 
    22      Q.  That is possible as well? 
 
    23      MR. JUSTICE NICOL:  Just a minute.  (Pause) By ""overdone it"", do 
    24          you mean that he was drunk? 
 
    25      A.  The behaviour was not the behaviour of a drunkard, but 
 
P.778 
 
     2          nevertheless, the consumption, as you said, because of the 
     3          consumption, it could be, you know, quite impressive, if you 
     4          will, and it could be a cause of that, yes.  So, not 
     5          necessarily behavioural but physical, yes. 
 
Mr Deuters rejected the description set out in Ms Heard’s email to herself which he was taken 
to 
 
P.778 
    16      Q.  This is another e-mail from Ms. Heard to herself, but dated 
    17          25th May 2014 at 11.32 p.m; all right? 
 
    18      A.  Yes. 
 
    19      Q.  That is what the date is recorded as? 
 
    20      A.  Yes. 
 
    21      Q.  It reads as follows, and I am going to ask you about whether 
    22          you recognise the events that she is describing in case 
 
P.779 "
timexy,42,May 2014,"TIMEX3 type=""DATE"" value=""2014-05-01T00:00:00""","     7      A.  You know, of that ilk.  It could cause quite unpleasant 
     8          feeling in that area.  It could be that.  I do not know 
     9          specifically.  I could not say specifically. 
 
    10      Q.  We are on our way to 80, that is 80 Sweetzer Avenue, is that 
    11          right, where he had a property in Hollywood? 
 
    12      A.  Yes. 
 
    13      Q.  Over the page, you carry on: ""He has been sick.  We are going 
    14          to get him straight to bed""? 
 
    15      A.  Yes. 
 
    16      Q.  Is that just tummy ache? 
 
    17      A.  I mean, I cannot recall specifically. 
 
    18      Q.  Or do you think, having seen what he said he had drunk and 
    19          imbibed by way of controlled drugs, he might have just 
    20          overdone it, and that is what made him ill? 
 
    21      A.  It is possible, yes. 
 
    22      Q.  That is possible as well? 
 
    23      MR. JUSTICE NICOL:  Just a minute.  (Pause) By ""overdone it"", do 
    24          you mean that he was drunk? 
 
    25      A.  The behaviour was not the behaviour of a drunkard, but 
 
P.778 
 
     2          nevertheless, the consumption, as you said, because of the 
     3          consumption, it could be, you know, quite impressive, if you 
     4          will, and it could be a cause of that, yes.  So, not 
     5          necessarily behavioural but physical, yes. 
 
Mr Deuters rejected the description set out in Ms Heard’s email to herself which he was taken 
to 
 
P.778 
    16      Q.  This is another e-mail from Ms. Heard to herself, but dated 
    17          25th May 2014 at 11.32 p.m; all right? 
 
    18      A.  Yes. 
 
    19      Q.  That is what the date is recorded as? 
 
    20      A.  Yes. 
 
    21      Q.  It reads as follows, and I am going to ask you about whether 
    22          you recognise the events that she is describing in case 
 
P.779 "
timexy,47,2 June 2016,"TIMEX3 type=""DATE"" value=""2016-06-02T00:00:00""","    17      Q.  Your interpretation which you put in your statement is that 
    18          you were just saying what Ms. Heard wanted to hear? 
 
    19      A.  Yes, and in my conversation with Mr. Depp at the time, he said 
    20          placate her, you know, say what you want to say, calm her 
    21          down.  As I have said, often I find myself in this unfortunate 
    22          position and ""kicked"" was the adjective she was using on the 
    23          plane so ""kicked"" was the word I use here 
 
The cross-examination of Stephen Deuters on a newspaper article of 2 June 2016 did not give 
any support to the Claimant’s case. 
 
 
P.792 
    11      MS. WASS:  That is an article in a newspaper, do you agree, dated 
    12          2nd June 2016? 
 
    13      A.  Yes. 
 
    14      Q.  So, after the instigation of divorce proceedings; do you 
    15          agree? 
 
    16      A.  Right, yes. 
 
    17      Q.  This is an article about you, really, is it not, Mr. Deuters: 
    18          ""Johnny Depp assistant says texts were doctored"", and then 
    19          turn over to the other page, which is F1131? 
 
    20      A.  Yes. 
 
    21      Q.  ""Johnny Depp's assistant, Stephen Deuters, tells TMZ that the 
    22          texts that were posted in which he allegedly apologised to 
    23          Amber Heard for Johnny's violent behaviour are heavily 
    24          doctored and he never said Johnny attacked her.  Deuters said 
    25          he knows of no acts of abuse towards Amber at the hands of 
 
P.793 
     2          Johnny and has never made such a claim to anyone.  He added 
     3          Johnny has never been violent towards anyone he knows. 
     4          Deuters said the texts themselves are suspicious because they 
     5          don't even show a date.  Bottom line, he says he will testify 
     6          under oath he never had a conversation about alleged violence 
     7          with Amber."" That is what you were saying, Mr. Deuters, 
     8          publicly, about these texts? 
 
     9      MR. JUSTICE NICOL:  Well, do you agree, Mr. Deuters, that the 
    10          article reflects what you were saying at the time? 
 
    11      A.  No, your Honour.  I never spoke to TMZ.  I never had a 
    12          conversation with anyone about these texts outside of Johnny's 
    13          then counsel.  I do not recall exactly who it was.  They asked 
    14          me about the texts and I said to them that they were taken out 
    15          of context.  I never used the word ""doctored"".  I never said 
    16          that to a solitary soul. 
 "
DATE,47,12          2nd,,"    17      Q.  Your interpretation which you put in your statement is that 
    18          you were just saying what Ms. Heard wanted to hear? 
 
    19      A.  Yes, and in my conversation with Mr. Depp at the time, he said 
    20          placate her, you know, say what you want to say, calm her 
    21          down.  As I have said, often I find myself in this unfortunate 
    22          position and ""kicked"" was the adjective she was using on the 
    23          plane so ""kicked"" was the word I use here 
 
The cross-examination of Stephen Deuters on a newspaper article of 2 June 2016 did not give 
any support to the Claimant’s case. 
 
 
P.792 
    11      MS. WASS:  That is an article in a newspaper, do you agree, dated 
    12          2nd June 2016? 
 
    13      A.  Yes. 
 
    14      Q.  So, after the instigation of divorce proceedings; do you 
    15          agree? 
 
    16      A.  Right, yes. 
 
    17      Q.  This is an article about you, really, is it not, Mr. Deuters: 
    18          ""Johnny Depp assistant says texts were doctored"", and then 
    19          turn over to the other page, which is F1131? 
 
    20      A.  Yes. 
 
    21      Q.  ""Johnny Depp's assistant, Stephen Deuters, tells TMZ that the 
    22          texts that were posted in which he allegedly apologised to 
    23          Amber Heard for Johnny's violent behaviour are heavily 
    24          doctored and he never said Johnny attacked her.  Deuters said 
    25          he knows of no acts of abuse towards Amber at the hands of 
 
P.793 
     2          Johnny and has never made such a claim to anyone.  He added 
     3          Johnny has never been violent towards anyone he knows. 
     4          Deuters said the texts themselves are suspicious because they 
     5          don't even show a date.  Bottom line, he says he will testify 
     6          under oath he never had a conversation about alleged violence 
     7          with Amber."" That is what you were saying, Mr. Deuters, 
     8          publicly, about these texts? 
 
     9      MR. JUSTICE NICOL:  Well, do you agree, Mr. Deuters, that the 
    10          article reflects what you were saying at the time? 
 
    11      A.  No, your Honour.  I never spoke to TMZ.  I never had a 
    12          conversation with anyone about these texts outside of Johnny's 
    13          then counsel.  I do not recall exactly who it was.  They asked 
    14          me about the texts and I said to them that they were taken out 
    15          of context.  I never used the word ""doctored"".  I never said 
    16          that to a solitary soul. 
 "
