file,label,page,text,id,surrounding_text,link
9.pdf,DATE,3,this later,,"down, there is someone here” and “let’s finish this later” as she would open the door and ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=3
9.pdf,timexy,4,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=4
9.pdf,timexy,5,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=5
9.pdf,timexy,6,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=6
9.pdf,timexy,7,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=7
9.pdf,DATE,7,early  2016,,"there”.  When  I  came  back  from  Australia  in  early  2016,  I  was  firmly  telling  her  she ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=7
9.pdf,DATE,7,"7 

E153",,,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=7
9.pdf,timexy,8,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=8
9.pdf,timexy,8,June 2013,"TIMEX3 type=""DATE"" value=""2013-06-01T00:00:00""",on a trip we took to Hicksville for his birthday in June 2013. We were all staying at this ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=8
9.pdf,timexy,9,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=9
9.pdf,timexy,10,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=10
9.pdf,DATE,10,"early 

2016",,,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=10
9.pdf,DATE,10,early 2016,,"It was in this period, in early 2016, that we talked a lot about her leaving. She started to ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=10
9.pdf,timexy,10,April 2016,"TIMEX3 type=""DATE"" value=""2016-04-01T00:00:00""","In April 2016, before her birthday, I remember going to the ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=10
9.pdf,timexy,10,4 days,"TIMEX3 type=""DURATION"" value=""P4D""","postponed the audition for 3-4 days, without giving me reasons. When we arrived, she ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=10
9.pdf,timexy,11,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=11
9.pdf,timexy,11,May 2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""","May 2016, and the police had been called and she decided to leave, it was like there was ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=11
9.pdf,timexy,12,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=12
9.pdf,DATE,12,a few weeks,,"her, a few weeks after she got back, I said “tell me everything about Australia – how was ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=12
9.pdf,timexy,13,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=13
9.pdf,timexy,14,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=14
9.pdf,timexy,14,April 2016,"TIMEX3 type=""DATE"" value=""2016-04-01T00:00:00""","Birthday party, April 2016 ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=14
9.pdf,DATE,14,"the 

day",,,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=14
9.pdf,DATE,14,a few days,,"day after the party, but I went to see her at home a few days after she got back. She told ",https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=14
9.pdf,timexy,15,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date: 4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=15
9.pdf,timexy,15,21 May 2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""",21 May 2016 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=15
9.pdf,DATE,15,the  months,,She  deeply  loved  him  and  did  not  want  to  leave  him.  She  told  me  in  the  months ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=15
9.pdf,timexy,16,December 2019,"TIMEX3 type=""DATE"" value=""2019-12-01T00:00:00""",Date:4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=16
9.pdf,timexy,16,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""",Date:4 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=16
10.pdf,timexy,1,December 2019,"TIMEX3 type=""DATE"" value=""2019-12-01T00:00:00""",Date:12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=1
10.pdf,timexy,2,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,timexy,2,August 2013,"TIMEX3 type=""DATE"" value=""2013-08-01T00:00:00""", from about August 2013 through about May ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,timexy,2,"May 

2014","TIMEX3 type=""DATE"" value=""2014-05-01T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,DATE,2,2013 through 2015,,5.  My experience of Johnny during the time that we were close – from 2013 through 2015 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,DATE,2,late 2013,,"Johnny was very frank with me about his struggles with drugs and alcohol. In late 2013, ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,DATE,2,four  days,,"he  would  do  twelve  –  and  then  keep  going,  for  four  days  straight.  That  was  the  way ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,DATE,2,October through,,"7.  From October through December 2013, I spent a lot of time with Johnny while Amber ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,timexy,2,December 2013,"TIMEX3 type=""DATE"" value=""2013-12-01T00:00:00""","7.  From October through December 2013, I spent a lot of time with Johnny while Amber ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,DATE,2,the middle of the night,,"in the middle of the night, asking for help to deal with him. This was also witnessed by my ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2
10.pdf,timexy,3,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=3
10.pdf,DATE,3,a week or a month,,convince him he needed to get sober – and he would for a week or a month. ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=3
10.pdf,DATE,3,mid 2015,,"mid 2015, that he knew he had to be “a good boy, or there would be a fight” and it was ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=3
10.pdf,DATE,3,late 2013,,and emotional lashing out. But it wasn’t until late 2013 or early 2014 that I understood ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=3
10.pdf,timexy,4,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=4
10.pdf,DATE,4,late 2015,,"proceedings. In late 2015 and 2016, I did not see or speak to Johnny but I remained ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=4
10.pdf,timexy,4,24 May 2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""","Boston-LA flight incident, 24 May 2014 ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=4
10.pdf,timexy,5,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=5
10.pdf,DATE,5,a few days,,near Johnny. So I suggested we go to New York for a few days – and we did. ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=5
10.pdf,timexy,6,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=6
10.pdf,timexy,7,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=7
10.pdf,timexy,7,February 2015,"TIMEX3 type=""DATE"" value=""2015-02-01T00:00:00""",I attended Amber and Johnny’s wedding in the Bahamas in February 2015 as Amber’s ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=7
10.pdf,timexy,7,one day,"TIMEX3 type=""DURATION"" value=""P1D""",about it one day in this period before he returned to Australia to finish filming. I asked ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=7
10.pdf,timexy,8,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=8
10.pdf,timexy,8,15 December 2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""","Los Angeles, 15 December 2015 ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=8
10.pdf,DATE,8,the next day,,"I was supposed to return home the next day, but I asked the production crew to bring my ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=8
10.pdf,timexy,9,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=9
10.pdf,timexy,10,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=10
10.pdf,DATE,10,Christmas 2015,,"Bahamas, Christmas 2015 ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=10
10.pdf,DATE,10,15 December,,"47.  As per usual, after the 15 December incident, Johnny resurfaced and made a huge show ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=10
10.pdf,DATE,10,earlier in the month,,"what he would do next, given what had earlier in the month. Besides that, I told her the ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=10
10.pdf,DATE,10,this holiday,,"extreme. And none of you should condone it, by going with him on this holiday.” They all ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=10
10.pdf,timexy,11,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=11
10.pdf,timexy,11,January  2016,"TIMEX3 type=""DATE"" value=""2016-01-01T00:00:00""","52.  Sometime  after  this,  in  late  January  2016,  Amber  and  I  took  a  trip  together  to  Palm ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=11
10.pdf,timexy,11,21 April 2016,"TIMEX3 type=""DATE"" value=""2016-04-21T00:00:00""","I was not at Amber’s birthday party on 21 April 2016, but I was told about it the next day, ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=11
10.pdf,DATE,11,the next day,,"I was not at Amber’s birthday party on 21 April 2016, but I was told about it the next day, ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=11
10.pdf,DATE,11,next  month,,56.  Amber  didn’t  see  him  for  the  next  month.  I  remember  in  that  month  Amber  was  just ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=11
10.pdf,timexy,11,21 May 2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","Los Angeles, 21 May 2016 ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=11
10.pdf,timexy,12,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=12
10.pdf,DATE,12,this day,,while he was sitting in a chair. The dog has faulty bowels. She still does to this day. ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=12
10.pdf,timexy,13,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=13
10.pdf,timexy,14,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=14
10.pdf,timexy,15,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=15
10.pdf,timexy,15,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=15
10.pdf,timexy,16,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",Date: 12 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=16
11.pdf,timexy,1,12 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-12T00:00:00""","Name: Joshua Drew 
Party: Defendants 
Exhibit JD 1 
Date:  12 February 2020 ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=1
11.pdf,timexy,2,12 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-12T00:00:00""","Name: Joshua Drew 
Party: Defendants 
Exhibit JD 1 
Date:  12 February 2020 ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,timexy,2,19 November 2019,"TIMEX3 type=""DATE"" value=""2019-11-19T00:00:00""",4.  I was deposed on 19 November 2019 in John  C.  Depp v Amber Laura Heard  Civil Action ,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,timexy,2,June 20,"TIMEX3 type=""DATE"" value=""2020-06-01T00:00:00""",I first met Amber in June 20 14. I met Johnny sometime soon  after that.  Rocky was  living ,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,DATE,2,the  summer of 2015,,Rocky and  I were  engaged in  the  summer of 2015 and  later that year  I moved  into  the ,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,timexy,2,"21 

May 2016","TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,DATE,2,the  past,,I have had  very limited contact with Amber in the  past two years since my divorce . I have ,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,timexy,2,two years,"TIMEX3 type=""DURATION"" value=""P2Y""",I have had  very limited contact with Amber in the  past two years since my divorce . I have ,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,DATE,2,"the 

years",,,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=2
11.pdf,timexy,3,12 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-12T00:00:00""","Name: Joshua Drew 
Party: Defendants 
Exhibit JD 1 
Date:  12 February 2020 ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=3
11.pdf,timexy,3,21 May 20,"TIMEX3 type=""DATE"" value=""2020-05-21T00:00:00""",21 May 20 16. Rocky told me  that Johnny had ki cked Amber on  a plane after a fight about ,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=3
11.pdf,timexy,3,15 December 2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""","15 December 2015, Los Angeles ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=3
11.pdf,DATE,3,the next  day,,17. I saw Amber that night and  the next  day saw her injuries:  she  had  bruising around  both ,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=3
11.pdf,timexy,4,12 February 20,"TIMEX3 type=""DATE"" value=""2020-02-12T00:00:00""","Name: Joshua Drew 
Party: Defendants 
Exhibit JD  1 
Date:  12 February 20 20 ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=4
11.pdf,DATE,4,next day,,"next day and  her injuries were visible, but she couldn 't pu ll  out of it.  Melanie lnglessis,  her ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=4
11.pdf,timexy,4,21  April 2016,"TIMEX3 type=""DATE"" value=""2016-04-21T00:00:00""","21  April 2016, birthday party, Los Angeles ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=4
11.pdf,timexy,4,21  April 2016,"TIMEX3 type=""DATE"" value=""2016-04-21T00:00:00""","21  April 2016, birthday party, Los Angeles ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=4
11.pdf,timexy,4,21  May 2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","21  May 2016,  Los Angeles ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=4
11.pdf,timexy,5,12 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-12T00:00:00""","Name: Joshua Drew 
Party: Defendants 
Exhibit JD 1 
Date:  12 February 2020 ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=5
11.pdf,timexy,6,12 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-12T00:00:00""","Name: Joshua Drew 
Party:  Defendants 
Exhibit JD 1 
Date:  12 February 2020 ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=6
11.pdf,DATE,6,The next day,,"31. The next day Rocky had a jewellery show, so  I cleared my sched ule  so I could be there to ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=6
11.pdf,timexy,7,12 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-12T00:00:00""","Name: Joshua Drew 
Party:  Defe ndants 
Exhi bit JD 1 
Date:  12 February 2020 ",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=7
11.pdf,timexy,8,"November 19, 2019","TIMEX3 type=""DATE"" value=""2019-11-19T00:00:00""","             Tuesday, November 19, 2019",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=8
11.pdf,DATE,8,"23

MICHELLE BULKLEY

CSR",,,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=8
11.pdf,DATE,9,"7 Tuesday,",,"1
2
3            Confidential Video Deposition of JOSHUA
4 DREW, taken on behalf of Plaintiff, at 2211
5 Michelson Drive, 7th Floor, Irvine, California,
6 beginning at 11:08 a.m. and ending at 6:22 p.m. on
7 Tuesday, November 19, 2019, before Michelle Bulkley,
8 Certified Shorthand Reporter Number 13658.
9                         * * *",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=9
11.pdf,timexy,9,"November 19, 2019","TIMEX3 type=""DATE"" value=""2019-11-19T00:00:00""","1
2
3            Confidential Video Deposition of JOSHUA
4 DREW, taken on behalf of Plaintiff, at 2211
5 Michelson Drive, 7th Floor, Irvine, California,
6 beginning at 11:08 a.m. and ending at 6:22 p.m. on
7 Tuesday, November 19, 2019, before Michelle Bulkley,
8 Certified Shorthand Reporter Number 13658.
9                         * * *",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=9
11.pdf,DATE,9,"10118

7",,,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=9
11.pdf,timexy,10,"May 27, 2016","TIMEX3 type=""DATE"" value=""2016-05-27T00:00:00""","             Pennington dated May 27, 2016",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=10
11.pdf,timexy,10,"March 12, 2015","TIMEX3 type=""DATE"" value=""2015-03-12T00:00:00""","14              between Joshua Drew and Amber
             Heard dated March 12, 2015",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=10
11.pdf,timexy,10,"November 19, 2019","TIMEX3 type=""DATE"" value=""2019-11-19T00:00:00""","1                  Irvine, California
2        Tuesday, November 19, 2019; 11:08 a.m.
3
4           THE VIDEOGRAPHER:  Good morning.  We are
5 on the record.  This is the recorded videotaped
6 deposition of Joshua Drew in the matter of John C.
7 Depp v. Amber Laura Heard.
8           This deposition is taking place at 2211
9 Michelson Drive, 7th floor, Irvine, California,
10 92612 on November 19th, 2019, at 11:08 a.m.
11           My name is Joshua Yasko.  I'm the legal
12 videographer with Veritext.  Video and audio
13 recording will be taking place unless all counsel
14 have agreed to go off the record.
15           Would everyone please introduce themselves
16 beginning with the witness.
17           THE WITNESS:  Joshua Drew.
18           MS. VIGLIETTA:  Emily Viglietta, attorney
19 for nonparty Joshua Drew.
20           MS. BROOK:  Davida Brook of Susman Godfrey
21 on behalf of the Defendant Amber Heard.
22           MS. GOODARZI:  Mona Goodarzi, associate at
23 Brown Rudnick.
24           MR. RAWLINSON:  Tom Rawlinson, associate
25 at Kaplan Hecker & Fink.",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=10
11.pdf,DATE,10,10 92612,,"1                  Irvine, California
2        Tuesday, November 19, 2019; 11:08 a.m.
3
4           THE VIDEOGRAPHER:  Good morning.  We are
5 on the record.  This is the recorded videotaped
6 deposition of Joshua Drew in the matter of John C.
7 Depp v. Amber Laura Heard.
8           This deposition is taking place at 2211
9 Michelson Drive, 7th floor, Irvine, California,
10 92612 on November 19th, 2019, at 11:08 a.m.
11           My name is Joshua Yasko.  I'm the legal
12 videographer with Veritext.  Video and audio
13 recording will be taking place unless all counsel
14 have agreed to go off the record.
15           Would everyone please introduce themselves
16 beginning with the witness.
17           THE WITNESS:  Joshua Drew.
18           MS. VIGLIETTA:  Emily Viglietta, attorney
19 for nonparty Joshua Drew.
20           MS. BROOK:  Davida Brook of Susman Godfrey
21 on behalf of the Defendant Amber Heard.
22           MS. GOODARZI:  Mona Goodarzi, associate at
23 Brown Rudnick.
24           MR. RAWLINSON:  Tom Rawlinson, associate
25 at Kaplan Hecker & Fink.",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=10
11.pdf,DATE,10,"November 19th, 2019",,"1                  Irvine, California
2        Tuesday, November 19, 2019; 11:08 a.m.
3
4           THE VIDEOGRAPHER:  Good morning.  We are
5 on the record.  This is the recorded videotaped
6 deposition of Joshua Drew in the matter of John C.
7 Depp v. Amber Laura Heard.
8           This deposition is taking place at 2211
9 Michelson Drive, 7th floor, Irvine, California,
10 92612 on November 19th, 2019, at 11:08 a.m.
11           My name is Joshua Yasko.  I'm the legal
12 videographer with Veritext.  Video and audio
13 recording will be taking place unless all counsel
14 have agreed to go off the record.
15           Would everyone please introduce themselves
16 beginning with the witness.
17           THE WITNESS:  Joshua Drew.
18           MS. VIGLIETTA:  Emily Viglietta, attorney
19 for nonparty Joshua Drew.
20           MS. BROOK:  Davida Brook of Susman Godfrey
21 on behalf of the Defendant Amber Heard.
22           MS. GOODARZI:  Mona Goodarzi, associate at
23 Brown Rudnick.
24           MR. RAWLINSON:  Tom Rawlinson, associate
25 at Kaplan Hecker & Fink.",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=10
11.pdf,DATE,11,summer of 2015,,"3       A   That would have been in summer of 2015, I",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=11
