file,label,page,text,id,surrounding_text,link
0.pdf,timexy,31,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=31
0.pdf,DATE,31,May 21st,,"however, those items were not smashed by me on May 21st or ever. ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=31
0.pdf,DATE,31,May 21st,,"however, those items were not smashed by me on May 21st or ever. ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=31
0.pdf,DATE,31,May  21st,,"been caused  by  me  on May  21st,  or  ever,  because  I  did not  do  anything  to  cause  any  such ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=31
0.pdf,timexy,32,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=32
0.pdf,timexy,32,27  May 2016,"TIMEX3 type=""DATE"" value=""2016-05-27T00:00:00""","100.  On 27  May 2016,  Ms  Heard filed the TRO  Application, which provided the  Defendants ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=32
0.pdf,timexy,32,May 2015,"TIMEX3 type=""DATE"" value=""2015-05-01T00:00:00""","103.  On27 May 2015, I sent the following text to Ms Paige Heard (page 4 of Exhibit JD2): ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=32
0.pdf,timexy,33,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=33
0.pdf,timexy,33,30 days,"TIMEX3 type=""DURATION"" value=""P30D""","her  she  had to  or she  would have  no place  to  live  in  30 days""  To  which I replied:  ""that is ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=33
0.pdf,timexy,34,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=34
0.pdf,timexy,34,30 days,"TIMEX3 type=""DURATION"" value=""P30D""",her  idea not her wishes.  She  was told she would be  evicted and out in  30 days  if she  did not ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=34
0.pdf,timexy,34,30 days,"TIMEX3 type=""DURATION"" value=""P30D""",her  idea not her wishes.  She  was told she would be  evicted and out in  30 days  if she  did not ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=34
0.pdf,timexy,35,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=35
0.pdf,timexy,35,16 August 2016,"TIMEX3 type=""DATE"" value=""2016-08-16T00:00:00""","In any  event, the TRO Application was dismissed with prejudice on  16 August 2016.  The ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=35
0.pdf,timexy,35,"21 

May  2016","TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=35
0.pdf,timexy,36,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=36
0.pdf,timexy,38,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=38
0.pdf,DATE,42,32301  1532,,"32301  1532  +13104984903 
1532  +13104984903 
32301 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=42
0.pdf,DATE,43,20040  1419,,"20040  1419  +13104984903 
20040  1419  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,DATE,43,20040  1419,,"20040  1419  +13104984903 
20040  1419  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,DATE,43,32309  1532,,"32309  1532  +13104984903 
32309  1532  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,DATE,43,4 fucking days,,"twice, this all makes me sick to my 
twice, this  all  makes  me  sick to  my 
stomach... i worshipped her and 
stomach...  i worshipped  her  and 
have been betrayed by the very love 
have been  betrayed  by the  very  love 
of  my  life... fuck  it... she  killed  it.  i 
of my life... fuck it... she killed it. i 
guess  i was  so  bad that  it was  fine 
guess i was so bad that it was fine 
for  her to  leave  me  and  go to 
for her to leave me and go to 
Coachella  for 4  fucking  days with  all 
Coachella for 4 fucking days with all 
of  her girlfriends  and to  not  give  her 
of her girlfriends and to not give her 
birthday to  us!!! the  festival  and  her 
birthday to us!!! the festival and her 
friends were  clearly  more  important 
friends were clearly more important 
than working things  out with  me... 
than working things out with me... 
with these  lies  she  is spewing to 
with these lies she is spewing to 
save  her  ass  in the  press, the  truth 
save her ass in the press, the truth 
will  always  catch  up...  and  the  truth 
will always catch up... and the truth 
will  be  a  bitch... AND  I HAVE  NOT 
will be a bitch... AND I HAVE NOT 
SAID A  WORD!!!  i have 2 witnesses 
SAID A WORD!!! i have 2 witnesses 
who  were  in the  room when  she  said 
who were in the room when she said 
that  i flung the  phone  at  her. 
that i flung the phone at her. 
ABSOLUTE  FUCKING  LIE!!! she 
ABSOLUTE FUCKING LIE!!! she 
wants  a divorce, she  get's  it.  but the 
(cid:90)a(cid:81)(cid:87)(cid:86) a di(cid:89)(cid:82)(cid:85)ce, (cid:86)he ge(cid:87)(cid:182)(cid:86) i(cid:87). b(cid:88)(cid:87) (cid:87)he 
world will  receive the  truth  and  if she 
world will receive the truth and if she 
is caught  perjuring  herself(which  she 
is caught perjuring herself(which she 
will), Australia  could  reopen their 
will), Australia could reopen their 
case  against  her to  investigate 
case against her to investigate 
whether,  or  not...  she  has  filed  a 
whether, or not... she has filed a 
restraining  order  against  me,  man... 
restraining order against me, man... 
cruel and  unforgivable...  i've done 
c(cid:85)(cid:88)e(cid:79) a(cid:81)d (cid:88)(cid:81)f(cid:82)(cid:85)gi(cid:89)ab(cid:79)e... i(cid:182)(cid:89)e d(cid:82)(cid:81)e 
nothing  but  love  her...  anyway, the 
nothing but love her... anyway, the 
you  have  it,  brother...  i hope she's 
(cid:92)(cid:82)(cid:88) ha(cid:89)e i(cid:87), b(cid:85)(cid:82)(cid:87)he(cid:85)... i h(cid:82)(cid:83)e (cid:86)he(cid:182)(cid:86) 
happy  now. 
happy now. 
 
The lawyer told her she had to or 
The  lawyer told  her  she  had to  or 
she would have no place to live in 
she  would  have  no  place to  live  in 
30 days 
30 days ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,timexy,43,30 days,"TIMEX3 type=""DURATION"" value=""P30D""","twice, this all makes me sick to my 
twice, this  all  makes  me  sick to  my 
stomach... i worshipped her and 
stomach...  i worshipped  her  and 
have been betrayed by the very love 
have been  betrayed  by the  very  love 
of  my  life... fuck  it... she  killed  it.  i 
of my life... fuck it... she killed it. i 
guess  i was  so  bad that  it was  fine 
guess i was so bad that it was fine 
for  her to  leave  me  and  go to 
for her to leave me and go to 
Coachella  for 4  fucking  days with  all 
Coachella for 4 fucking days with all 
of  her girlfriends  and to  not  give  her 
of her girlfriends and to not give her 
birthday to  us!!! the  festival  and  her 
birthday to us!!! the festival and her 
friends were  clearly  more  important 
friends were clearly more important 
than working things  out with  me... 
than working things out with me... 
with these  lies  she  is spewing to 
with these lies she is spewing to 
save  her  ass  in the  press, the  truth 
save her ass in the press, the truth 
will  always  catch  up...  and  the  truth 
will always catch up... and the truth 
will  be  a  bitch... AND  I HAVE  NOT 
will be a bitch... AND I HAVE NOT 
SAID A  WORD!!!  i have 2 witnesses 
SAID A WORD!!! i have 2 witnesses 
who  were  in the  room when  she  said 
who were in the room when she said 
that  i flung the  phone  at  her. 
that i flung the phone at her. 
ABSOLUTE  FUCKING  LIE!!! she 
ABSOLUTE FUCKING LIE!!! she 
wants  a divorce, she  get's  it.  but the 
(cid:90)a(cid:81)(cid:87)(cid:86) a di(cid:89)(cid:82)(cid:85)ce, (cid:86)he ge(cid:87)(cid:182)(cid:86) i(cid:87). b(cid:88)(cid:87) (cid:87)he 
world will  receive the  truth  and  if she 
world will receive the truth and if she 
is caught  perjuring  herself(which  she 
is caught perjuring herself(which she 
will), Australia  could  reopen their 
will), Australia could reopen their 
case  against  her to  investigate 
case against her to investigate 
whether,  or  not...  she  has  filed  a 
whether, or not... she has filed a 
restraining  order  against  me,  man... 
restraining order against me, man... 
cruel and  unforgivable...  i've done 
c(cid:85)(cid:88)e(cid:79) a(cid:81)d (cid:88)(cid:81)f(cid:82)(cid:85)gi(cid:89)ab(cid:79)e... i(cid:182)(cid:89)e d(cid:82)(cid:81)e 
nothing  but  love  her...  anyway, the 
nothing but love her... anyway, the 
you  have  it,  brother...  i hope she's 
(cid:92)(cid:82)(cid:88) ha(cid:89)e i(cid:87), b(cid:85)(cid:82)(cid:87)he(cid:85)... i h(cid:82)(cid:83)e (cid:86)he(cid:182)(cid:86) 
happy  now. 
happy now. 
 
The lawyer told her she had to or 
The  lawyer told  her  she  had to  or 
she would have no place to live in 
she  would  have  no  place to  live  in 
30 days 
30 days ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,timexy,43,30 days,"TIMEX3 type=""DURATION"" value=""P30D""","twice, this all makes me sick to my 
twice, this  all  makes  me  sick to  my 
stomach... i worshipped her and 
stomach...  i worshipped  her  and 
have been betrayed by the very love 
have been  betrayed  by the  very  love 
of  my  life... fuck  it... she  killed  it.  i 
of my life... fuck it... she killed it. i 
guess  i was  so  bad that  it was  fine 
guess i was so bad that it was fine 
for  her to  leave  me  and  go to 
for her to leave me and go to 
Coachella  for 4  fucking  days with  all 
Coachella for 4 fucking days with all 
of  her girlfriends  and to  not  give  her 
of her girlfriends and to not give her 
birthday to  us!!! the  festival  and  her 
birthday to us!!! the festival and her 
friends were  clearly  more  important 
friends were clearly more important 
than working things  out with  me... 
than working things out with me... 
with these  lies  she  is spewing to 
with these lies she is spewing to 
save  her  ass  in the  press, the  truth 
save her ass in the press, the truth 
will  always  catch  up...  and  the  truth 
will always catch up... and the truth 
will  be  a  bitch... AND  I HAVE  NOT 
will be a bitch... AND I HAVE NOT 
SAID A  WORD!!!  i have 2 witnesses 
SAID A WORD!!! i have 2 witnesses 
who  were  in the  room when  she  said 
who were in the room when she said 
that  i flung the  phone  at  her. 
that i flung the phone at her. 
ABSOLUTE  FUCKING  LIE!!! she 
ABSOLUTE FUCKING LIE!!! she 
wants  a divorce, she  get's  it.  but the 
(cid:90)a(cid:81)(cid:87)(cid:86) a di(cid:89)(cid:82)(cid:85)ce, (cid:86)he ge(cid:87)(cid:182)(cid:86) i(cid:87). b(cid:88)(cid:87) (cid:87)he 
world will  receive the  truth  and  if she 
world will receive the truth and if she 
is caught  perjuring  herself(which  she 
is caught perjuring herself(which she 
will), Australia  could  reopen their 
will), Australia could reopen their 
case  against  her to  investigate 
case against her to investigate 
whether,  or  not...  she  has  filed  a 
whether, or not... she has filed a 
restraining  order  against  me,  man... 
restraining order against me, man... 
cruel and  unforgivable...  i've done 
c(cid:85)(cid:88)e(cid:79) a(cid:81)d (cid:88)(cid:81)f(cid:82)(cid:85)gi(cid:89)ab(cid:79)e... i(cid:182)(cid:89)e d(cid:82)(cid:81)e 
nothing  but  love  her...  anyway, the 
nothing but love her... anyway, the 
you  have  it,  brother...  i hope she's 
(cid:92)(cid:82)(cid:88) ha(cid:89)e i(cid:87), b(cid:85)(cid:82)(cid:87)he(cid:85)... i h(cid:82)(cid:83)e (cid:86)he(cid:182)(cid:86) 
happy  now. 
happy now. 
 
The lawyer told her she had to or 
The  lawyer told  her  she  had to  or 
she would have no place to live in 
she  would  have  no  place to  live  in 
30 days 
30 days ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,DATE,43,"TWO 
WEEKS",,"that is absolute bullshit!!! HER 
that  is absolute  bullshit!!!  HER 
LAWYER ASKED FOR TWO 
LAWYER ASKED  FOR  TWO 
WEEKS at the downtown place... 
WEEKS  at the  downtown  place... 
AND I SAID, (cid:179)NO(cid:180)!!! SHE COULD 
AND  I SAID,  ""NO""!!!  SHE  COULD 
STAY THERE  AS  LONG AS  SHE 
STAY THERE AS LONG AS SHE 
LIKED!!! WHY  WOULD  I FORCE 
LIKED!!! WHY WOULD I FORCE 
HER  OUT  IN 2 WEEKS???  I AIN'T 
HER OUT IN 2 WEEKS??? I AIN(cid:182)T 
NO  SCUMBAG!!! dude,  my fucking 
NO SCUMBAG!!! dude, my fucking 
wedding  ring  is still  on  me!!!  i has 
wedding ring is still on me!!! i has 
not taken  it off,  because  i love  her... 
not taken it off, because i love her... 
it  is coming  off  now.  what  a fucking 
it is coming off now. what a fucking 
knife to the  back,  i'm  so 
k(cid:81)ife (cid:87)(cid:82) (cid:87)he back, i(cid:182)(cid:80) (cid:86)(cid:82) 
disappointed  and  so  hurt...  it's just 
di(cid:86)a(cid:83)(cid:83)(cid:82)i(cid:81)(cid:87)ed a(cid:81)d (cid:86)(cid:82) h(cid:88)(cid:85)(cid:87)... i(cid:87)(cid:182)(cid:86) j(cid:88)(cid:86)(cid:87) 
too  much... x...  later,  brother...feel 
too much... x... later, brother...feel 
better!!! Jd 
better!!! Jd 
 
It's the lawyers on both sides doing 
It's the  lawyers  on  both  sides doing 
this not Amber. I heard the whole 
this  not Amber.  I heard the  whole 
story very teary - if I could just talk to 
story very teary  -  if  I could just talk to 
Johnny. She didn't want this. Friggin 
Johnny.  She  didn't want this.  Friggin 
lawyers on BOTH sides!! This was 
lawyers  on  BOTH  sides!! This  was 
not ler idea not her wishes. She was 
not  ler  idea  not  her wishes.  She  was 
told she would be evicted and out in 
told  she  would  be  evicted  and  out  in 
30days if she did not do this 
30days  if she  did  not  do  this ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,DATE,43,2 WEEKS,,"that is absolute bullshit!!! HER 
that  is absolute  bullshit!!!  HER 
LAWYER ASKED FOR TWO 
LAWYER ASKED  FOR  TWO 
WEEKS at the downtown place... 
WEEKS  at the  downtown  place... 
AND I SAID, (cid:179)NO(cid:180)!!! SHE COULD 
AND  I SAID,  ""NO""!!!  SHE  COULD 
STAY THERE  AS  LONG AS  SHE 
STAY THERE AS LONG AS SHE 
LIKED!!! WHY  WOULD  I FORCE 
LIKED!!! WHY WOULD I FORCE 
HER  OUT  IN 2 WEEKS???  I AIN'T 
HER OUT IN 2 WEEKS??? I AIN(cid:182)T 
NO  SCUMBAG!!! dude,  my fucking 
NO SCUMBAG!!! dude, my fucking 
wedding  ring  is still  on  me!!!  i has 
wedding ring is still on me!!! i has 
not taken  it off,  because  i love  her... 
not taken it off, because i love her... 
it  is coming  off  now.  what  a fucking 
it is coming off now. what a fucking 
knife to the  back,  i'm  so 
k(cid:81)ife (cid:87)(cid:82) (cid:87)he back, i(cid:182)(cid:80) (cid:86)(cid:82) 
disappointed  and  so  hurt...  it's just 
di(cid:86)a(cid:83)(cid:83)(cid:82)i(cid:81)(cid:87)ed a(cid:81)d (cid:86)(cid:82) h(cid:88)(cid:85)(cid:87)... i(cid:87)(cid:182)(cid:86) j(cid:88)(cid:86)(cid:87) 
too  much... x...  later,  brother...feel 
too much... x... later, brother...feel 
better!!! Jd 
better!!! Jd 
 
It's the lawyers on both sides doing 
It's the  lawyers  on  both  sides doing 
this not Amber. I heard the whole 
this  not Amber.  I heard the  whole 
story very teary - if I could just talk to 
story very teary  -  if  I could just talk to 
Johnny. She didn't want this. Friggin 
Johnny.  She  didn't want this.  Friggin 
lawyers on BOTH sides!! This was 
lawyers  on  BOTH  sides!! This  was 
not ler idea not her wishes. She was 
not  ler  idea  not  her wishes.  She  was 
told she would be evicted and out in 
told  she  would  be  evicted  and  out  in 
30days if she did not do this 
30days  if she  did  not  do  this ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,DATE,43,2 WEEKS,,"that is absolute bullshit!!! HER 
that  is absolute  bullshit!!!  HER 
LAWYER ASKED FOR TWO 
LAWYER ASKED  FOR  TWO 
WEEKS at the downtown place... 
WEEKS  at the  downtown  place... 
AND I SAID, (cid:179)NO(cid:180)!!! SHE COULD 
AND  I SAID,  ""NO""!!!  SHE  COULD 
STAY THERE  AS  LONG AS  SHE 
STAY THERE AS LONG AS SHE 
LIKED!!! WHY  WOULD  I FORCE 
LIKED!!! WHY WOULD I FORCE 
HER  OUT  IN 2 WEEKS???  I AIN'T 
HER OUT IN 2 WEEKS??? I AIN(cid:182)T 
NO  SCUMBAG!!! dude,  my fucking 
NO SCUMBAG!!! dude, my fucking 
wedding  ring  is still  on  me!!!  i has 
wedding ring is still on me!!! i has 
not taken  it off,  because  i love  her... 
not taken it off, because i love her... 
it  is coming  off  now.  what  a fucking 
it is coming off now. what a fucking 
knife to the  back,  i'm  so 
k(cid:81)ife (cid:87)(cid:82) (cid:87)he back, i(cid:182)(cid:80) (cid:86)(cid:82) 
disappointed  and  so  hurt...  it's just 
di(cid:86)a(cid:83)(cid:83)(cid:82)i(cid:81)(cid:87)ed a(cid:81)d (cid:86)(cid:82) h(cid:88)(cid:85)(cid:87)... i(cid:87)(cid:182)(cid:86) j(cid:88)(cid:86)(cid:87) 
too  much... x...  later,  brother...feel 
too much... x... later, brother...feel 
better!!! Jd 
better!!! Jd 
 
It's the lawyers on both sides doing 
It's the  lawyers  on  both  sides doing 
this not Amber. I heard the whole 
this  not Amber.  I heard the  whole 
story very teary - if I could just talk to 
story very teary  -  if  I could just talk to 
Johnny. She didn't want this. Friggin 
Johnny.  She  didn't want this.  Friggin 
lawyers on BOTH sides!! This was 
lawyers  on  BOTH  sides!! This  was 
not ler idea not her wishes. She was 
not  ler  idea  not  her wishes.  She  was 
told she would be evicted and out in 
told  she  would  be  evicted  and  out  in 
30days if she did not do this 
30days  if she  did  not  do  this ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=43
0.pdf,DATE,44,32312  1532,,"32312  1532  +13104984903 
32312  1532  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=44
0.pdf,DATE,44,32312  1532,,"32312  1532  +13104984903 
32312  1532  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=44
0.pdf,DATE,44,32317  1532,,"32317  1532  +13104984903 
32317  1532  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=44
0.pdf,DATE,44,32318  1532,,"32318  1532  +13104984903 
32318  1532  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=44
0.pdf,DATE,44,32319  1532,,"32319  1532  +13104984903 
32319  1532  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=44
0.pdf,DATE,44,32319  1532,,"32319  1532  +13104984903 
32319  1532  +13104984903 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=44
0.pdf,DATE,44,"30 
days",,"Yes it was! I am sure. Her dumb 
Yes  it was!  I am  sure.  Her  dumb 
lawyer possibly as the only way she 
lawyer  possibly  as the  only way  she 
would have a place to live in 30 
would  have  a  place to  live  in  30 
days. She DID NOT want to do this I 
days.  She  DID  NOT  want to  do  this  I 
swear to you. The lawyers are 
swear to  you.  The  lawyers  are 
frigging things  up 
frigging things up 
 
if (cid:86)he did(cid:81)(cid:182)(cid:87) (cid:90)a(cid:81)(cid:87) (cid:87)(cid:82) fi(cid:79)e a (cid:85)e(cid:86)(cid:87)(cid:85)ai(cid:81)i(cid:81)g 
if she  didn't want to  file  a  restraining 
order against me and send a 
order against  me  and  send  a 
message to the world that i am 
message to the  world that  i am 
some  kind  of violent wife  beater 
some kind of violent wife beater 
...then why would  she  go  to  the 
...then why would she go to the 
courthouse with  a  photo  of  her that 
courthouse with a photo of her that 
looks  like she's  been  abused??? this 
(cid:79)(cid:82)(cid:82)k(cid:86) (cid:79)ike (cid:86)he(cid:182)(cid:86) bee(cid:81) ab(cid:88)(cid:86)ed??? (cid:87)hi(cid:86) 
is  my  life too, what  are  my  children 
is my life too, what are my children 
and  my  children's  friends supposed 
a(cid:81)d (cid:80)(cid:92) chi(cid:79)d(cid:85)e(cid:81)(cid:182)(cid:86) f(cid:85)ie(cid:81)d(cid:86) (cid:86)(cid:88)(cid:83)(cid:83)(cid:82)(cid:86)ed 
to think???  I do  not deserve  this, 
to think??? I do not deserve this, 
and they  do  not deserve  this... 
and they do not deserve this... 
especially  not from  her. 
especially not from her. 
 
Her lawyer told her she had to and 
Her  lawyer told  her  she  had  to  and 
she had to today. That's why she 
she  had to  today.  That's why  she 
wanted to  talk to  you. We  didn't talk 
wanted to talk to you. We didn't talk 
so  please  never  bring this  up.  But  I'll 
so please never bring this up. But I'll 
swear to  you  this was  not  her  idea 
swear to you this was not her idea 
nor did  she  do  it willingly  or  happily. 
nor did she do it willingly or happily. 
She  was  told  it was  her  ONLY  option 
She was told it was her ONLY option 
to  not  being  kicked  out.  I'm  not 
to not being kicked out. I'm not 
making  excuses  but that  is what  she 
making excuses but that is what she 
believed.  She  did  not want  to  do  it. 
believed. She did not want to do it. 
She  felt she  was  betraying  her only 
She felt she was betraying her only 
love  but the  lawyers  said  so. 
love but the lawyers said so. 
 
Please don't pass this on if you ever 
Please don't  pass this  on  if you  ever 
talk to Amber again. I love you, son 
talk to Amber  again.  I love  you,  son ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=44
2.pdf,timexy,1,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  Stephen Deuters 
No: First 
Exhibit:  SD 1 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=1
2.pdf,timexy,1,June 2004,"TIMEX3 type=""DATE"" value=""2004-06-01T00:00:00""","worked continuously for Mr Depp since June 2004.  In my role as Mr Depp's assistant, ",https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=1
2.pdf,DATE,1,"2004-

2017",,,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=1
2.pdf,timexy,2,21  June  2019,"TIMEX3 type=""DATE"" value=""2019-06-21T00:00:00""",I  have  been  shown  the  Defendants'  Amended  Defence  dated  21  June  2019  and  the ,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=2
2.pdf,timexy,2,26  July  2019,"TIMEX3 type=""DATE"" value=""2019-07-26T00:00:00""",Amended  Reply  dated  26  July  2019.  The  purpose  of this  witness  statement  is  to ,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=2
2.pdf,timexy,2,24 May 2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""",24 May 2014 w  Private Flight ,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=2
2.pdf,DATE,3,The following day,,"the incident took place  as  described above.  The following day,  on 25  May 2014,  Mr ",https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=3
2.pdf,timexy,3,25  May 2014,"TIMEX3 type=""DATE"" value=""2014-05-25T00:00:00""","the incident took place  as  described above.  The following day,  on 25  May 2014,  Mr ",https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=3
2.pdf,timexy,4,25 January 2015,"TIMEX3 type=""DATE"" value=""2015-01-25T00:00:00""",25 January 2015 ,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=4
2.pdf,timexy,4,January  2015,"TIMEX3 type=""DATE"" value=""2015-01-01T00:00:00""",abused  Ms  Heard  in  a  hotel  room  on  a  trip  to  Tokyo  in January  2015.  I  was  not ,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=4
2.pdf,timexy,4,4 March 2015,"TIMEX3 type=""DATE"" value=""2015-03-04T00:00:00""",3 and 4 March 2015 ,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=4
2.pdf,DATE,4,"4 

D107",,,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=4
2.pdf,timexy,5,"21 

May  2016","TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=5
2.pdf,timexy,7,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: Stephen Deuters 
No: First 
Exhibit: SD 1 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=7
2.pdf,DATE,8,12 Deoember 2019,,"On behalf of: Claimam 
Witness: Stcpbeo Deulers 
No: First 
Exhibit: SD I 
Dale: 12 Deoember 2019 ",https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=8
2.pdf,DATE,8,Deoember 2019,,"On behalf of: Claimam 
Witness: Stcpbeo Deulers 
No: First 
Exhibit: SD I 
Dale: 12 Deoember 2019 ",https://www.nickwallis.com/_files/ugd/5df505_3af069960ed64ffa8fe68eacf51d1767.pdf#page=8
3.pdf,DATE,2,between Monday and Friday,,were 8 a.m.  to  4 p.m.  between Monday and Friday.  My primary duty in addition to assisting ,https://www.nickwallis.com/_files/ugd/5df505_759ec5c37d59420db95c1b1529a7ed23.pdf#page=2
3.pdf,timexy,2,21  May 2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","Saturday, 21  May 2016 ",https://www.nickwallis.com/_files/ugd/5df505_759ec5c37d59420db95c1b1529a7ed23.pdf#page=2
